ticker,signal_type,direction,signal_date,entry_date,entry_price,stop_price,target_price,outcome,exit_date,exit_price,days_held,r_multiple
HWM,RSI 약세 다이버전스,bearish,2024-11-07 01:00:00-05:00,2024-11-07 05:00:00-05:00,114.98,116.7,111.53,stop,2024-11-07 05:00:00-05:00,116.7,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2024-11-13 09:00:00-05:00,2024-11-13 13:00:00-05:00,116.14,117.88,112.66,stop,2024-11-14 05:00:00-05:00,117.88,3,-1.0
HWM,RSI 약세 다이버전스,bearish,2024-11-13 17:00:00-05:00,2024-11-14 01:00:00-05:00,113.15,114.85,109.76,stop,2024-11-14 01:00:00-05:00,114.85,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2024-11-14 05:00:00-05:00,2024-11-14 09:00:00-05:00,116.17,117.91,112.68,target,2024-11-14 13:00:00-05:00,112.68,1,2.0
HWM,RSI 약세 다이버전스,bearish,2024-11-19 13:00:00-05:00,2024-11-19 17:00:00-05:00,116.1,117.84,112.62,stop,2024-11-20 13:00:00-05:00,117.84,4,-1.0
HWM,RSI 약세 다이버전스,bearish,2024-11-20 01:00:00-05:00,2024-11-20 05:00:00-05:00,116.0,117.74,112.52,stop,2024-11-20 13:00:00-05:00,117.74,2,-1.0
HWM,RSI 약세 다이버전스,bearish,2024-11-20 17:00:00-05:00,2024-11-21 01:00:00-05:00,118.74,120.52,115.18,target,2024-11-25 09:00:00-05:00,115.18,12,2.0
HWM,RSI 약세 다이버전스,bearish,2024-12-05 13:00:00-05:00,2024-12-05 17:00:00-05:00,120.08,121.88,116.48,target,2024-12-09 01:00:00-05:00,116.48,6,2.0
HWM,RSI 약세 다이버전스,bearish,2025-01-10 05:00:00-05:00,2025-01-10 09:00:00-05:00,115.35,117.08,111.89,target,2025-01-13 01:00:00-05:00,111.89,3,2.0
HWM,RSI 약세 다이버전스,bearish,2025-01-17 09:00:00-05:00,2025-01-17 13:00:00-05:00,125.79,127.68,122.02,stop,2025-01-21 01:00:00-05:00,127.68,2,-1.0
